week,team,opponent,home
1,ARI,NO,away
2,ARI,CAR,home
3,ARI,SF,away
4,ARI,SEA,home
5,ARI,TEN,home
6,ARI,IND,away
7,ARI,GB,home
9,ARI,DAL,away
10,ARI,SEA,away
11,ARI,SF,home
12,ARI,JAC,home
13,ARI,TB,away
14,ARI,LAR,home
15,ARI,HOU,away
16,ARI,ATL,home
17,ARI,CIN,away
18,ARI,LAR,away
1,ATL,TB,home
2,ATL,MIN,away
3,ATL,CAR,away
4,ATL,WAS,home
6,ATL,BUF,home
7,ATL,SF,away
8,ATL,MIA,home
9,ATL,NE,away
10,ATL,IND,away
11,ATL,CAR,home
12,ATL,NO,away
13,ATL,NYJ,away
14,ATL,SEA,home
15,ATL,TB,away
16,ATL,ARI,away
17,ATL,LAR,home
18,ATL,NO,home
1,BAL,BUF,away
2,BAL,CLE,home
3,BAL,DET,home
4,BAL,KC,away
5,BAL,HOU,home
6,BAL,LAR,home
8,BAL,CHI,home
9,BAL,MIA,away
10,BAL,MIN,away
11,BAL,CLE,away
12,BAL,NYJ,home
13,BAL,CIN,home
14,BAL,PIT,home
15,BAL,CIN,away
16,BAL,NE,home
17,BAL,GB,away
18,BAL,PIT,away
1,BUF,BAL,home
2,BUF,NYJ,away
3,BUF,MIA,home
4,BUF,NO,home
5,BUF,NE,home
6,BUF,ATL,away
8,BUF,CAR,away
9,BUF,KC,home
10,BUF,MIA,away
11,BUF,TB,home
12,BUF,HOU,away
13,BUF,PIT,away
14,BUF,CIN,home
15,BUF,NE,away
16,BUF,CLE,away
17,BUF,PHI,home
18,BUF,NYJ,home
1,CAR,JAC,away
2,CAR,ARI,away
3,CAR,ATL,home
4,CAR,NE,away
5,CAR,MIA,home
6,CAR,DAL,home
7,CAR,NYJ,away
8,CAR,BUF,home
9,CAR,GB,away
10,CAR,NO,home
11,CAR,ATL,away
12,CAR,SF,away
13,CAR,LAR,home
15,CAR,NO,away
16,CAR,TB,home
17,CAR,SEA,home
18,CAR,TB,away
1,CHI,MIN,home
2,CHI,DET,away
3,CHI,DAL,home
4,CHI,LV,away
6,CHI,WAS,away
7,CHI,NO,home
8,CHI,BAL,away
9,CHI,CIN,away
10,CHI,NYG,home
11,CHI,MIN,away
12,CHI,PIT,home
13,CHI,PHI,away
14,CHI,GB,away
15,CHI,CLE,home
16,CHI,GB,home
17,CHI,SF,away
18,CHI,DET,home
1,CIN,CLE,away
2,CIN,JAC,home
3,CIN,MIN,away
4,CIN,DEN,away
5,CIN,DET,home
6,CIN,GB,away
